name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G",stores,Amazon Fashion,4.2,3628.0,351.0,399.0,12.03
MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,stores,Amazon Fashion,3.9,291.0,249.0,999.0,75.08
108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1...,stores,Amazon Fashion,4.4,2950.0,125.0,160.0,21.88
Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,stores,Amazon Fashion,4.2,8.0,584.16,584.16,0.0
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),stores,Amazon Fashion,4.0,17985.0,299.0,799.0,62.58
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...",stores,Amazon Fashion,4.3,5830.0,448.0,499.0,10.22
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,...",stores,Amazon Fashion,4.0,99745.0,1299.0,3999.0,67.52
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S...,stores,Amazon Fashion,4.0,598.0,1695.0,3495.0,51.5
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green)",stores,Amazon Fashion,0.0,0.0,3619.0,7238.0,50.0
"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio...",stores,Amazon Fashion,3.8,10.0,939.0,1262.0,25.59
Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud...,stores,Amazon Fashion,4.1,56.0,151.0,240.0,37.08
Brado Jewellery Multi Wearing Heart Necklace 4 Heart Magnetic Rose Gold Necklace Pendant Heart Toggle Necklace Diamond Wom...,stores,Amazon Fashion,4.1,1486.0,187.0,999.0,81.28
Skybags Brat Black 46 Cms Casual Backpack,stores,Amazon Fashion,4.1,3753.0,659.0,2100.0,68.62
Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),stores,Amazon Fashion,4.2,17784.0,289.0,350.0,17.43
NAPA HIDE Tan Crunch Leather Wallet for Men,stores,Amazon Fashion,3.9,30868.0,299.0,1499.0,80.05
"Polyester Bag, Lightweight Backpack Bag Handbag Home Storage Tool for Birthdays(AA801)",stores,Amazon Fashion,0.0,0.0,2694.0,5399.0,50.1
Philips GC1905 1440-Watt Steam Iron with Spray (Blue),stores,Amazon Fashion,4.3,38943.0,1699.0,2295.0,25.97
TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,stores,Amazon Fashion,3.8,9281.0,319.0,1799.0,82.27
"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...",stores,Amazon Fashion,4.4,1323.0,98.0,125.0,21.6
"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vi...",stores,Amazon Fashion,4.3,19963.0,283.0,305.0,7.21
Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,stores,Amazon Fashion,4.2,369.0,499.0,1499.0,66.71
"Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set fo...",stores,Amazon Fashion,4.5,1923.0,299.0,600.0,50.17
INOVERA (LABEL) Women Handbag,stores,Amazon Fashion,4.1,7143.0,1249.0,1999.0,37.52
GTA 5 (FULL PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY IN 2 HRS ‎ ‎,stores,Amazon Fashion,0.0,0.0,599.0,1999.0,70.04
"L'Oréal Paris Revitalift Serum, Hydrating and Plumping, With 1.5% Hyaluronic Acid, 15ml",stores,Amazon Fashion,4.2,15562.0,450.0,499.0,9.82
"MILTON Helix 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted | BPA Free | 100% Leak Proof | Office Bottle | Gym Bo...",stores,Amazon Fashion,4.0,1542.0,324.0,540.0,40.0
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,stores,Amazon Fashion,4.2,7147.0,80.0,80.0,0.0
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Black)",stores,Amazon Fashion,0.0,0.0,3539.0,7078.0,50.0
Fastrack Analog Black Dial Unisex-Adult Watch-38024PP25,stores,Amazon Fashion,4.2,6882.0,850.0,850.0,0.0
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),stores,Amazon Fashion,4.1,52238.0,1199.0,2300.0,47.87
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,stores,Amazon Fashion,4.2,1464.0,229.0,500.0,54.2
BATA Women's Kafi Slipper,stores,Amazon Fashion,3.9,3778.0,323.0,599.0,46.08
"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moistu...",stores,Amazon Fashion,4.2,47152.0,134.0,299.0,55.18
"Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Na...",stores,Amazon Fashion,3.7,25616.0,510.0,750.0,32.0
"Tote Bag, Backpack Bag Home Storage Tool Large Capacity for Birthdays(AA802)",stores,Amazon Fashion,0.0,0.0,1979.0,3958.0,50.0
Very First Sight Words Sentences Level 1,stores,Amazon Fashion,4.5,11206.0,140.0,200.0,30.0
Razer Anzu Smart Glasses: Blue Light Filtering & Polarized Sunglass Lenses - Low Latency Audio - Built-in Mic & Speakers -...,stores,Amazon Fashion,3.9,68.0,4499.0,29990.0,85.0
